V1,V2,V3,V4,V5,m,rep,S
0.6479311238966778,0.6377563136493021,0.657749898988226,0.6537150395468052,0.6269787882629131,K1,1,10
0.09504514001037946,0.09252696717880869,0.08285100163106404,0.08531226237064238,0.9995402220247624,K2,1,10
0.7725924338526683,0.7611448348836521,0.7934043631532728,0.7865545541577559,0.14160504128342707,K2,1,10
0.09070254215549689,0.08809716616547958,0.06455389899081991,0.06706620042235267,0.9999291828138839,K3,1,10
0.24449521802620441,0.2359431404799534,0.9971844601370308,0.994961586018103,0.12504495442366012,K3,1,10
0.9966986194473115,0.9873256591072804,0.24530839484262362,0.23653775973778712,0.10235125876369174,K3,1,10
0.08828320598934748,0.08501452936964536,0.06144748030596371,0.06381822917275456,0.9999310150569893,K4,1,10
0.24135933999948847,0.23357803773994668,0.9971917137225401,0.9952566707001361,0.12346907783929884,K4,1,10
0.9593241050782695,0.9976100314764839,0.21990805582221792,0.22921919141878214,0.1183736871717839,K4,1,10
0.9993837205894912,0.9675980284567383,0.25711858200800564,0.23978668788080024,0.0902612715473418,K4,1,10
0.08574614019501278,0.0827469397063359,0.06023757256005154,0.06240247467053225,0.9999627644790554,K5,1,10
0.2698050068876623,0.30964569315780294,0.31886705922703973,0.3513676583324805,0.804153625605311,K5,1,10
0.23671177004264446,0.23422259823016953,0.9967164034060021,0.9962320411561592,0.10035828046517933,K5,1,10
0.979768087786369,0.9953306080725381,0.20696555141302503,0.20720289380124013,0.0903141027282094,K5,1,10
0.8020700715966959,0.6691502342091349,0.34831346727864526,0.29240161210318866,0.12425587522602143,K5,1,10
